SCC,차종,소분류,연료,물질,연식,추가조건,배출계수,열화계수,,
7010101,승용차,경형,휘발유,CO,’99<,V<=65,59.783*V^(-1.0007),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’99<,V>65,0.0874*V-3.5618,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’00-’05,V<=65,60.556*V^(-1.2501),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’00-’05,V>65,-0.0006*V+0.5753,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’06-’08,V<=45,4.9952*V^(-0.8461),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’06-’08,V>45,-0.0001*V^2+0.0229*V-0.5701,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’09-’11,V<=45,4.5956*V^(-0.8461),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’09-’11,V>45,-9.2000E-05*V^2+2.1068E-02*V-5.2449E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’12-’13,V<=45,4.4517*V^(-0.8461),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’12-’13,V>45,-8.9120E-05*V^2+2.0408E-02*V-5.0807E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’14,V<=45,4.3079*V^(-0.8461),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’14,V>45,-8.6240E-05*V^2+1.9749E-02*V-4.9165E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’15,V<=45,4.164*V^(-0.8461),Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’15,V>45,-8.3360E-05*V^2+1.9089E-02*V-4.7524E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’16,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’17,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,CO,’18>,,2.9500E-05*V^2-3.2721E-03*V+2.2115E-01,Tf10p_5W,,
7010101,승용차,경형,휘발유,VOC,’96<,,7.6244*V^(-0.8364),Tf10p_5W,,
7010101,승용차,경형,휘발유,VOC,’97-’99,,8.6275*V^(-1.0722),Tf10p_5W,,
7010101,승용차,경형,휘발유,VOC,’00-’02,,5.1835*V^(-1.1889),Tf10p_5W,,
7010101,승용차,경형,휘발유,VOC,’03-’05,,0.7446*V^(-0.9392),Tf10p_5W,,
7010101,승용차,경형,휘발유,VOC,’06-’08,,0.2958*V^(-0.7830),Tf10p_5W,,
